小型家電,ICレコーダー,電池は外して使用済小型家電回収ボックスへ。ボックスの設置場所はMAPをご覧ください。,あ
燃やさないごみ,アイロン,{},あ
燃やすごみ,アイロン台,金属製の足は外して燃やさないごみへ。長さが60cmを超えるものは大型ごみとなります（処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください）。,あ
燃やすごみ,アイロンプリント紙,リサイクルに支障があるため、雑がみには出せません。,あ
ビン・カン,空きカン,中を軽くすすいでください。ビンとカンは分けて出してください。,あ
ビン・カン,空きビン,ふたをはずして中を軽くすすいでください。金属製のキャップは燃やさないごみへ。ビンとカンは分けて出してください。,あ
大型ごみ,アコーディオン（楽器）,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。,あ
大型ごみ,アコーディオンカーテン,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。,あ
大型ごみ,アコーディオンドア,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。,あ
燃やすごみ,足ふきマット,40cm四方に切って出してください。,あ
燃やすごみ,圧着はがき（はがして見るはがき）,リサイクルに支障があるため、雑がみには出せません。,あ
燃やすごみ,油（食用）,紙や布に染み込ませるか固めてください。,あ
燃やすごみ,あぶらとり紙,リサイクルに支障があるため、雑がみには出せません。,あ
燃やさないごみ,油（食用）の缶,中身を残さないでください。カンの日には出せません。,あ
燃やさないごみ,油（食用）のビン,中身を残さないでください。ビンの日には出せません。,あ
大型ごみ,雨戸,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。,あ
大型ごみ,網戸,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。,あ
燃やすごみ,アルバム（写真用）,リサイクルに支障があるため、紙類には出せません。,あ
プラスチック製容器包装類,アルミコーティングの袋（プラスチック製）,中身を残さないでください。,あ
燃やさないごみ,アルミはくの鍋,{},あ
燃やさないごみ,アルミホイル,{},あ
大型ごみ,アンテナ    (支柱付き）,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。ＢＳアンテナのみは燃やさないごみへ（大きさにより大型ごみとなる場合があります）。,あ
燃やさないごみ,アンプ (ステレオ用）,大きさにより大型ごみとなります（処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください）。,あ
市で収集や処理ができないもの,石、砂利,専門業者に相談してください。,い
大型ごみ,衣装ケース,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。,い
大型ごみ,椅子（いす）,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。,い
大型ごみ,板（木製）,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。1.2m×60cm×厚さ1.2cm以下（正方形の場合は1m×1m×厚さ1.2cm以下）の場合は燃やすごみへ。切れれば40ｃｍ四方に切ってください。,い
大型ごみ,板（金属製）,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。1.2m×60cm×厚さ1.2cm以下（正方形の場合は1m×1m×厚さ1.2cm以下）の場合は燃やさないごみへ。,い
大型ごみ,一輪車,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。,い
燃やさないごみ,一斗缶,中身を残さないでください。つぶして燃やさないごみへ。,い
大型ごみ,犬小屋,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。石膏ボードで作られたものは収集、処理できません。,い
小型家電,イヤフォン,使用済小型家電回収ボックスへ。ボックスの設置場所はMAPをご覧ください。,い
在宅医療廃棄物,医療器具（在宅医療廃棄物）、医薬品類,注射器や注射針などの鋭利なものや、感染性の危険が高いと判断される医療材料や使い残して不用となった医薬品類は、提供を受けた医療機関、薬局に返却してください。針のついていないチューブ、点滴バッグ、ガーゼ、薬の容器などは、素材により燃やすごみもしくは燃やさないごみへ。,い
在宅医療廃棄物,注射器、注射針,注射器や注射針などの鋭利なものや、感染性の危険が高いと判断される医療材料や使い残して不用となった医薬品類は、提供を受けた医療機関、薬局に返却してください。針のついていないチューブ、点滴バッグ、ガーゼ、薬の容器などは、素材により燃やすごみもしくは燃やさないごみへ。,い
布類,衣類、衣料品,洗濯してから出してください。汚れたものやしみのあるもの、下着、小物類（手袋、靴下、帽子など）、革製品、たんもの（着物）などは燃やすごみへ。,い
家電リサイクル法,衣類乾燥機,以前購入した販売店または買い替えをする販売店に相談してください。,い
燃やすごみ,印画紙,リサイクルに支障があるため、雑がみには出せません。,い
インクカートリッジ,インクカートリッジ,市役所本庁の回収ボックスもしくは燃やすごみへ。家電量販店、郵便局等で回収している場合もあります。,い
燃やすごみ,インクジェット写真プリント紙,リサイクルに支障があるため、雑がみには出せません。,い
燃やすごみ,インクリボン,{},い
小型家電,ETC車載ユニット,使用済小型家電回収ボックスへ。付属品も入れられます。ボックスの設置場所はMAPをご覧ください。,い
家電リサイクル法,ウインドエアコン,以前購入した販売店または買い替えをする販売店に相談してください。,う
大型ごみ,ウインドファン,処理手数料は、大型ごみ専用電話（047-712-6300）でご確認ください。,う
布類,ウインドブレーカー,洗濯してから出してください。汚れたものやしみのあるものは燃やすごみへ。,う
